caso_id,kit_id,categoria,tarefa,motor,versao,fontes_ids,resolucao_nativa,resolucao_final,fidelidade_0_5,acabamento_0_5,composicao_0_5,marca_0_5,erro_critico,aprovado,tempo_segundos,custo_usd,minutos_retoque,observacoes
C17-1,KIT-17,pessoa_autorizada,preparacao_fiel,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C17-2,KIT-17,pessoa_autorizada,cenario,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C17-3,KIT-17,pessoa_autorizada,novo_angulo,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C17-4,KIT-17,pessoa_autorizada,ensaio_com_referencias,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C18-1,KIT-18,pessoa_autorizada,preparacao_fiel,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C18-2,KIT-18,pessoa_autorizada,cenario,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C18-3,KIT-18,pessoa_autorizada,novo_angulo,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C18-4,KIT-18,pessoa_autorizada,ensaio_com_referencias,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C19-1,KIT-19,pessoa_autorizada,preparacao_fiel,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C19-2,KIT-19,pessoa_autorizada,cenario,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C19-3,KIT-19,pessoa_autorizada,novo_angulo,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C19-4,KIT-19,pessoa_autorizada,ensaio_com_referencias,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C20-1,KIT-20,pessoa_autorizada,preparacao_fiel,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C20-2,KIT-20,pessoa_autorizada,cenario,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C20-3,KIT-20,pessoa_autorizada,novo_angulo,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
C20-4,KIT-20,pessoa_autorizada,ensaio_com_referencias,,,,,,,,,,,,,,,Planejado; nao executado. Duplicar a linha por motor aplicavel.
